"C14ID","SiteID","C14Age","C14Error","LabCode","deltaC13","deltaC13Error","Material","calCurve","Region"
860,106,4480,40,"Beta-157917",-26.5,NA,"Charred Remain","intcal13",1
861,106,4350,40,"Beta-157918",-27.6,NA,"Charred Remain","intcal13",1
862,106,4490,40,"Beta-157920",-27,NA,"Charred Remain","intcal13",1
866,106,4345,40,"MTC-04904",-27.2,NA,"Charred Remain","intcal13",1
868,106,4440,40,"MTC-04905",-26.4,NA,"Charred Remain","intcal13",1
869,106,4350,40,"Beta-166518",-26.4,NA,"Charred Remain","intcal13",1
872,108,4030,35,"MTC-03306",-29.7,NA,"Lacquer","intcal13",1
873,109,4515,35,"MTC-08564",-28.2,0.5,"Charred Remain","intcal13",1
880,109,5900,45,"MTC-09134",-26.9,1.2,"Charred Remain","intcal13",1
881,110,4400,50,"IAAA-31119",-26.9,1.01,"Lacquer","intcal13",1
882,110,4190,40,"IAAA-31120",-26.28,0.71,"Lacquer","intcal13",1
889,111,4060,40,"IAAA-40503",-30.59,0.56,"Charred Remain","intcal13",1
891,112,4430,35,"MTC-04595",-27.6,NA,"Seed/Nut","intcal13",1
896,114,4470,40,"Beta-171635",-26.5,NA,"Charred Remain","intcal13",1
900,114,4430,40,"Beta-171634",-26.4,NA,"Charred Remain","intcal13",1
903,114,4590,40,"Beta-171630",-26.3,NA,"Pottery Food Residue","intcal13",1
904,115,4010,40,"Beta-200454",-27.6,NA,"Charred Remain","intcal13",1
905,115,4495,35,"MTC-05566",-26.8,NA,"Pottery Food Residue","intcal13",1
911,118,4220,40,"Beta-159262",-26.9,NA,"Charred Remain","intcal13",1
912,118,4160,40,"Beta-161101",-26.5,NA,"Charred Remain","intcal13",1
913,118,3425,35,"MTC-04333",-26.5,NA,"Charred Remain","intcal13",1
919,118,4170,35,"MTC-04335",-26.9,NA,"Charred Remain","intcal13",1
921,118,4210,40,"Beta-159268",-27.4,NA,"Charred Remain","intcal13",1
922,118,4190,40,"Beta-167503",-26.6,NA,"Charred Remain","intcal13",1
927,118,4130,40,"MTC-04897",-26.7,NA,"Charred Remain","intcal13",1
928,118,4230,45,"MTC-04898",-26.5,NA,"Charred Remain","intcal13",1
930,118,4180,40,"Beta-167435",-26.1,NA,"Charred Remain","intcal13",1
931,118,3370,40,"Beta-167756",-26.5,NA,"Charred Remain","intcal13",1
932,118,4195,40,"MTC-04899",-26.4,NA,"Charred Remain","intcal13",1
933,118,3905,40,"MTC-04336",-29,NA,"Charred Remain","intcal13",1
934,118,4060,40,"Beta-159272",-26.2,NA,"Charred Remain","intcal13",1
935,118,4220,50,"Beta-158770",-27.9,NA,"Lacquer","intcal13",1
938,118,4400,40,"Beta-163457",-26.7,NA,"Pottery Food Residue","intcal13",1
939,118,4210,40,"Beta-160329",-26.4,NA,"Pottery Food Residue","intcal13",1
940,118,4450,40,"Beta-183453",-28.3,NA,"Pottery Food Residue","intcal13",1
941,118,4270,40,"Beta-183452",-27.9,NA,"Pottery Food Residue","intcal13",1
943,118,3885,30,"PLD-4175",-26.89,0.11,"Charred Remain","intcal13",1
944,119,4440,40,"Beta-162292",-26.4,NA,"Pottery Food Residue","intcal13",1
945,119,4500,40,"Beta-162293",-26.6,NA,"Pottery Food Residue","intcal13",1
946,119,4460,40,"Beta-162290",-26.4,NA,"Pottery Food Residue","intcal13",1
949,119,4450,40,"Beta-165962",-27,NA,"Pottery Food Residue","intcal13",1
951,119,4660,40,"Beta-165963",-29.2,NA,"Pottery Food Residue","intcal13",1
955,120,4610,40,"Beta-158198",-27,NA,"Pottery Food Residue","intcal13",1
