"","SiteID","C14ID","C14Age","C14Error","LabCode","deltaC13","deltaC13Error","Material","calCurve","Region","Ref","SiteName","Latitude","Longitude","Prefecture"
"115",9,1415,3976,21,"IAAA-92287",-30.34,0.25,"Charred Remain","intcal13",2,"青森県文化財調査報告書第506集","Tashiro",40.3934,141.528,"Aomori"
"116",9,204,3995,25,"PLD-4183",-29.18,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Tashiro",40.3934,141.528,"Aomori"
"117",9,199,3995,25,"PLD-4178",-28.11,0.15,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Tashiro",40.3934,141.528,"Aomori"
"118",9,201,4040,25,"PLD-4180",-28.77,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Tashiro",40.3934,141.528,"Aomori"
"119",9,1419,4053,22,"IAAA-92291",-28.31,0.19,"Charred Remain","intcal13",2,"青森県文化財調査報告書第506集","Tashiro",40.3934,141.528,"Aomori"
"120",9,203,4010,25,"PLD-4182",-26.66,0.14,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Tashiro",40.3934,141.528,"Aomori"
"121",9,205,4040,30,"PLD-4184",-28.32,0.16,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Tashiro",40.3934,141.528,"Aomori"
"122",9,1418,4026,22,"IAAA-92290",-27.54,0.27,"Charred Remain","intcal13",2,"青森県文化財調査報告書第506集","Tashiro",40.3934,141.528,"Aomori"
"123",9,1422,3943,19,"IAAA-101039",-28.38,0.25,"Wood","intcal13",2,"青森県文化財調査報告書第506集","Tashiro",40.3934,141.528,"Aomori"
"124",9,1416,3822,21,"IAAA-92288",-30.06,0.21,"Charred Remain","intcal13",2,"青森県文化財調査報告書第506集","Tashiro",40.3934,141.528,"Aomori"
"125",9,202,4055,25,"PLD-4181",-27.73,0.14,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Tashiro",40.3934,141.528,"Aomori"
"126",9,326,4080,40,"Beta-199689",-27.1,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 2","Tashiro",40.3934,141.528,"Aomori"
"127",10,384,4470,40,"Beta-137331",-26.5,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3","Sasanosawa(3)",40.5008,141.148,"Aomori"
"128",10,238,4500,35,"MTC-03495",-29.2,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"129",10,233,4560,40,"Beta-180280",-26.6,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"130",10,383,4560,40,"Beta-137330",-26.4,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3","Sasanosawa(3)",40.5008,141.148,"Aomori"
"131",10,237,4475,35,"MTC-03494",-33,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"132",10,231,4565,40,"MTC-03778",-31.7,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"133",10,236,4550,35,"MTC-03493",-38.1,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"134",10,247,4455,35,"MTC-03503",-27.6,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"135",10,248,4505,35,"MTC-03504",-27.8,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"136",10,250,4540,35,"MTC-03506",-27,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"137",10,245,4440,50,"MTC-03502",-26.2,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"138",10,225,4730,40,"Beta-180279",-27.8,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"139",10,226,4510,35,"MTC-03491",-26.6,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"140",10,244,4460,35,"MTC-03501",-26.6,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"141",10,234,4550,40,"Beta-182488",-26.2,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"142",10,230,4525,35,"MTC-03492",-27.5,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"143",10,382,4460,40,"Beta-137329",-27,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3","Sasanosawa(3)",40.5008,141.148,"Aomori"
"144",10,249,4525,35,"MTC-03505",-27,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"145",10,240,4500,60,"MTC-03497",-29.8,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"146",10,239,4510,35,"MTC-03496",-31.3,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"147",10,380,4470,40,"Beta-137327",-26.2,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3","Sasanosawa(3)",40.5008,141.148,"Aomori"
"148",10,227,4615,40,"MTC-03776",-27.7,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"149",10,243,4530,35,"MTC-03500",-27.2,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"150",10,241,4515,35,"MTC-03498",-29.9,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"151",10,232,4560,40,"Beta-180281",-26.4,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"152",10,242,4515,35,"MTC-03499",-27.7,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sasanosawa(3)",40.5008,141.148,"Aomori"
"153",12,147,2720,80,"IAAA-30447",-27.19,1.34,"Lacquer","intcal13",2,"Kenichi Kobayashi  2009","Korekawanakai",40.4719,141.495,"Aomori"
"154",12,144,2950,50,"IAAA-30443",-26.95,1.89,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Korekawanakai",40.4719,141.495,"Aomori"
"155",12,159,2980,35,"MTC-03795",-28.7,NA,"Lacquer","intcal13",2,"Kenichi Kobayashi  2009","Korekawanakai",40.4719,141.495,"Aomori"
"156",12,155,2930,30,"MTC-04330",-28.7,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Korekawanakai",40.4719,141.495,"Aomori"
"157",12,158,2610,35,"MTC-04332",-26.7,NA,"Lacquer","intcal13",2,"Kenichi Kobayashi  2009","Korekawanakai",40.4719,141.495,"Aomori"
"158",12,167,2960,20,"PLD-4127",-26.9,0.12,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Korekawanakai",40.4719,141.495,"Aomori"
"159",12,161,3140,40,"Beta-163814",-26.2,NA,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009","Korekawanakai",40.4719,141.495,"Aomori"
"160",12,148,2580,60,"IAAA-30446",-26.73,1.47,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Korekawanakai",40.4719,141.495,"Aomori"
"161",12,160,3040,60,"MTC-03796",-29.1,NA,"Lacquer","intcal13",2,"Kenichi Kobayashi  2009","Korekawanakai",40.4719,141.495,"Aomori"
"162",14,479,3890,40,"Beta-162504",-28.8,NA,"Charred Remain","intcal13",2,"青森県文化財調査報告書第344集","Yoneyama(2)",40.8427,140.848,"Aomori"
